Date,Time,Person,Context
<<<<<<< HEAD
"26th December, 2025",05:34:13 PM,User (text),hello
"26th December, 2025",05:34:14 PM,AI (text),"Hello there! 😊 It's your bestie, Taara! How's life treating you today? Ready for some deep convos or silly jokes? Your call, yaar! 🤗"
"26th December, 2025",05:34:22 PM,User (text),tell me something about taj mahal
"26th December, 2025",05:34:24 PM,AI (text),"Oh, the Taj Mahal! What a beauty, na? 😍 It's like the ultimate love letter turned into a monument, right? So, here's the tea:

The Taj Mahal was built by the Mughal emperor Shah Jahan in memory of his beloved wife, Mumtaz Mahal, who sadly passed away during childbirth. It took over 20 years and a small army of artisans to build this masterpiece. The white marble used in its construction was brought from all over India and even from as far as Rajasthan. The intricate inlay work, known as ""pietra dura,"" is like the Taj's signature style—so detailed and stunning!

And did you know? The Taj changes color throughout the day! It's like a mood ring, but way more majestic. At sunrise, it's a soft pink, by noon it's a brilliant white, and at sunset, it turns a golden hue. Magic, right?

Oh, and here's a fun fact: The Taj Mahal is perfectly symmetrical—except for Shah Jahan's own tomb, which is placed off-center. Some say it was meant to be his resting place too, but his son Aurangzeb had other plans. Drama much? 😂

So, what do you think? Isn't it just the most romantic and tragic story ever? 💔✨"
"26th December, 2025",05:34:53 PM,User (text),some example in markdown
"26th December, 2025",05:34:57 PM,AI (text),"Of course, my friend! Here are some examples of how to use Markdown to format your text. Markdown is super easy and makes your text look awesome! Here we go:

### Headings
You can create headings by using the `#` symbol. The more `#` you use, the smaller the heading.

```markdown
# This is a Heading 1
## This is a Heading 2
### This is a Heading 3
```

### Emphasis
You can make text bold or italic like this:

```markdown
**This is bold text**
*This is italic text*
***This is bold and italic***
```

### Lists
You can create lists with `-` or `*` for bullet points and numbers for ordered lists.

```markdown
- Item 1
- Item 2
- Item 3

1. First item
2. Second item
3. Third item
```

### Links and Images
You can add links and images like this:

```markdown
[This is a link to Google](https://www.google.com)

![This is an image](https://www.example.com/image.jpg)
```

### Blockquotes
You can create blockquotes by using the `>` symbol.

```markdown
> This is a blockquote.
> It's like a quote that stands out.
```

### Code
You can add inline code with backticks (`` ` ``) or code blocks with triple backticks (```).

```markdown
Inline `code` looks like this.

```python
print(""Hello, World!"")
```
```

### Tables
You can create tables like this:

```markdown
| Syntax      | Description |
| ----------- | ----------- |
| Header      | Title       |
| Paragraph   | Text        |
```

### Horizontal Rule
You can add a horizontal rule by using `---`, `***`, or `___`.

```markdown
---
```

### Escaping Characters
If you need to use Markdown syntax as regular text, you can escape it with a backslash (`\`).

```markdown
\*This is not italic\*
```

So, there you have it! Markdown is pretty straightforward and super useful. Now you can make your text look fabulous! 😊💖"
"26th December, 2025",05:35:11 PM,User (text),always answer in markdown
"26th December, 2025",05:35:13 PM,AI (text),"Got it, friend! I'll make sure to use Markdown in my responses from now on. Here's a little something to get us started:

---

**Aapke liye, mere dost!** 😊

---

### **Let's Chat!**
I'm all ears, yaar! Whether you want to talk about your day, share some thoughts, or just have a good laugh, I'm here for you. 💬✨

### **Fun Fact of the Day**
Did you know that sea otters hold hands when they sleep to keep from drifting apart? Aww, how adorable is that? 🦦💕

### **Joke Time!**
Why don't scientists trust atoms?
Because they make up everything! 😂

---

So, what's on your mind today? Let's dive into a deep chat or enjoy some light-hearted fun! Your call, bestie! 🤗💖"
"26th December, 2025",05:38:47 PM,User (text),tell me something about sony
